Generation,AVG_popsize,AVG_major0,AVG_major1,AVG_introgressed0,AVG_introgressed1,VAR_popsize,VAR_major0,VAR_major1,VAR_introgressed0,VAR_introgressed1
0,10,1,9,0,1,0,0,0,0,0,
1,9.7,0.7,9,-nan,0.962599,9.81,0.61,7.6,-nan,0.00241246,
2,11.6,0.5,11.1,-nan,0.976149,10.04,1.45,10.49,-nan,0.000671806,
3,12.6,0.5,12.1,-nan,0.979354,17.44,2.25,20.29,-nan,0.000453507,
4,14.4,0.5,13.9,-nan,0.966124,31.44,2.25,37.09,-nan,0.0025765,
5,13.6,0.3,13.3,-nan,0.961181,46.44,0.81,48.81,-nan,0.00476972,
6,14,0.4,13.6,-nan,0.958139,41,1.44,40.04,-nan,0.0051164,
7,12.6,0.3,12.3,-nan,0.951818,35.04,0.81,32.61,-nan,0.0059843,
8,12.3,0.1,12.2,-nan,0.945707,32.41,0.09,31.36,-nan,0.00784263,
9,14.2,0.2,14,-nan,0.9325,55.96,0.36,54,-nan,0.0119785,
